isin,buyvolume,sellvolume
isin371,2515218433.9896364,2503038573.1595345
isin680,2432124401.024398,2409909849.1332664
isin681,2541514375.086892,2483962165.0903482
isin1301,2584503326.442008,2529631576.0049024
isin1326,2408444966.8466253,2327256596.980208
isin2029,2052545885.0368562,2005849664.6432228
isin2392,2069238866.106122,2056814703.9371777
isin2393,2530680594.5121126,2453554492.981641
isin2707,2089482398.8423066,2027507526.5070672
isin3273,2257435601.9804654,2248660867.0087843
isin3652,2387343627.165346,2386118213.665513
isin4014,2507141052.5846057,2474936131.5725718
isin12540,2099455089.2305923,2036444553.6743574
isin5212,3618637382.9236064,3463395167.1192265
isin6630,3982559181.317575,3863022562.047888
isin7541,3534816635.3187046,3478407084.504972
isin8057,3527106797.1179566,3438488077.3722544
isin8058,3983534313.2000465,3813992408.734913
isin8059,4096272530.8925543,4017624477.802455
isin9128,3801369196.65431,3671815285.719616
isin9129,3853745196.775419,3809642869.5268364
isin10598,4059352883.0570793,3955796945.70572
isin10684,3814448974.5368657,3739777101.219147
isin11152,4155993582.742105,4084596140.9737587
isin11153,4322271118.427645,4142474486.240291
isin11841,4192404820.8702545,4082740496.170654
isin11957,4031525102.286558,3949043878.913296
isin11958,3707763827.0404882,3682200392.0821247
isin11959,3796578747.6262064,3689328248.6351423
isin12095,3452556016.0820856,3370347865.0623865
isin12386,3993411263.130093,3867894878.498994
isin12387,4329883493.504763,4121582369.808539
isin12426,3757208707.9722877,3676035463.6088905
isin13389,3712677387.78543,3650211240.920676
isin13390,3873138170.4722886,3772219023.962715
isin13392,3838918357.4874043,3759867802.850274
isin17315,3437266326.552038,3395546904.7829037
isin6850,6059349696.752047,6594269673.404907
isin6952,7137455610.283102,7860075826.631645
isin7176,6940394370.717089,7488665942.670448
isin7177,6801661316.833282,7457186003.412964
isin7352,6918585850.830696,7613918210.926771
isin7789,6386276713.528117,7034094954.480301
isin7790,6732276693.677408,7257894542.95031
isin7791,7284313905.201802,7959989316.03001
isin7792,6885637481.847866,7569946488.434175
isin7793,6587311100.645139,7148302392.579932
isin8020,7386348976.727934,8193162356.813555
isin8021,6858126617.502132,7505030515.38105
isin8123,6745732323.428028,7388621660.6911125
isin8133,6779833065.8504925,7425336151.8249
isin8134,6728786127.111456,7364013347.765749
isin8143,7635350293.623445,8375917014.195331
isin8198,7499920226.933544,8140183350.8519
isin8202,6460483195.247048,7078566084.862679
isin8203,7024326777.547672,7653534368.101904
isin8500,6632058823.105135,7322528217.519287
isin8804,7037202631.538597,7751355856.226704
isin8805,6742109556.374445,7379656461.016521
isin8813,7736305292.617041,8510508879.577997
isin8814,6413868954.79829,7056001859.376381
isin8816,6894342293.316406,7684343500.306046
isin8960,6426193572.9677305,6990738587.24733
isin8961,6246215911.362009,6918849380.335581
isin9198,6926571551.870638,7673244107.3370495
isin9199,6779092442.290594,7381369915.433401
isin9803,6660515876.110379,7246944482.093372
isin9804,6933755822.369429,7610844193.093851
isin9875,7004465681.051886,7823195018.704611
isin9879,7728085309.872182,8469092162.176395
isin9962,6251113948.679937,6860462278.165094
isin10496,7171821362.709632,7877863498.835297
isin10497,6910459628.509378,7711319275.005112
isin10732,7061926697.452169,7791386843.208843
isin15798,6812631797.626211,7557267321.1895485
isin15799,7331923678.670397,8068798832.321105
isin16097,6383686445.910774,7085226792.872473
isin17191,7626194820.771685,8302790739.163607
isin17193,6515260162.259956,7188163173.929635
isin17322,7481534089.137769,8169938881.961172
isin10964,503794105.72635305,411685958.70221883
isin11951,534579213.74302256,436539325.9313516
isin11952,427990097.9641111,348136143.3774104
isin11953,371114597.1177796,299334383.3437686
isin12150,449431701.2860744,361428958.57258826
isin12152,456809967.3048649,374516337.7507491
isin12153,398024360.53300214,308498718.70632
isin14402,436702615.80454826,355764383.48438877
isin3730,8468342273.57085,8368372108.284662
isin5483,7449244300.411357,7321478875.948046
isin6071,7268520676.338595,7121509446.162601
isin6072,8481270347.353468,8454461436.943869
isin6073,8679312694.004324,8674244780.912386
isin6074,8258606095.192688,8119271622.628511
isin6075,8132393870.17371,7960939257.625371
isin6076,9136966032.01345,9043246948.89624
isin6077,7318362473.849261,7243717824.845783
isin6078,7463414422.418667,7279516275.285599
isin6079,9161252507.299059,9073784192.74071
isin6080,7092964200.559853,6985419762.93206
isin7534,7144576035.893259,7083278770.805377
isin7629,8277114972.322727,8172106390.363262
isin8591,7857973798.909063,7661145799.779044
isin8592,7843727528.112139,7720286425.984236
isin8593,8130474083.516443,7981319262.255109
isin15473,7947019716.017456,7793028599.9826355
isin15483,7456488561.3658085,7365114750.030141
isin15494,8280132570.033857,8114854632.028042
isin15495,7050017764.320879,7042107722.326355
isin15934,8216698352.660943,8271490030.395123
isin16277,8608900727.690773,8560065501.363312
isin16303,7549263489.35818,7420852494.769173
isin16451,8263073176.518629,8254320384.3359375
isin16455,7330175000.844895,7163249762.15853
isin16464,8370403124.80669,8197862707.422424
isin16642,7708378002.649017,7464499707.988323
isin16692,7021753555.074476,6933236072.827156
isin4100,624461482.1789001,679996124.9349157
isin7757,562093367.472605,610765674.8596191
isin7759,620986149.0642518,656749931.2686063
isin7761,653037790.1560547,705565002.1383587
isin8097,676174986.365748,729036024.2977997
isin8098,559808285.9638321,612068551.5192387
isin8101,596590079.2524443,652591805.2253596
isin8102,555924846.0031928,594261833.5365732
isin8104,665808264.0267472,731677601.6448368
isin8286,548699111.6024467,578995303.3212616
isin8287,583859135.6326045,640748771.5989975
isin8336,666509599.1956804,732232175.9875909
isin8618,711336036.9776354,768742044.008866
isin9188,568957848.1059344,630570258.2817799
isin9815,638161219.5461583,673483689.2596767
isin9834,669808063.2624948,723990382.010114
isin10184,659576115.792978,716961288.5484072
isin10186,545789560.2509038,593395650.5002682
isin10187,638081537.357311,688172724.1615138
isin10188,574762476.4913204,636408483.11781
isin10254,663448428.1441295,723071266.0312719
isin10255,742063250.9113828,799111528.9281316
isin10521,683025774.2653162,718548065.0391039
isin10526,630733359.8452526,678302110.3151925
isin10530,557663037.9970162,600960784.758792
isin11005,620496417.0127549,694199225.6111197
isin12196,675094552.1418941,716931487.7882364
isin12198,659036729.8735228,699662398.8157586
isin12824,652727034.4978105,694126259.8314869
isin12825,641527310.7482662,714196165.7716494
isin13236,656026918.84598,699333358.3013808
isin13787,644678511.9688177,670723310.8108356
isin13794,715662839.4976517,786174874.8523684
isin13803,617801894.1879851,687487690.5029004
isin1853,125580095.35578412,27246566.417539433
isin3565,126659723.7181221,27069440.919430822
isin3576,135091056.4952996,28798884.51790274
isin7230,134382845.74767268,27269426.93910992
isin7231,115042149.3217268,28949286.67810694
isin8167,126558386.03676641,29399301.500664003
isin8168,123240121.54506177,32512764.701956086
isin8283,110908717.89693996,29019240.874984473
isin8294,123708285.69453098,26537578.50956545
isin8295,113337842.52341487,28095600.582177065
isin8296,121431255.8648416,32757672.875176765
isin8297,120324557.1997062,24315682.551269207
isin8298,117495196.5521281,32740183.850745358
isin8299,136907320.86853227,28619793.25785552
isin8300,108441290.02130052,27232007.043277234
isin8301,141896932.91153324,32004723.387268767
isin8302,126582320.98491487,26688059.19224775
isin8303,121660039.89430317,31066123.28014814
isin8304,130492815.79765807,25521975.386946857
isin8305,126996694.63187492,29793037.424290035
isin8306,127917020.28753135,32075429.028631534
isin8307,123656721.83444636,28064704.18868836
isin8308,129914701.3823103,25079570.549325347
isin8309,119661228.37415364,33142490.080471657
isin8310,108797377.4919492,28230229.30787451
isin8311,118900839.84147249,25946688.685315903
isin8313,111731759.30271432,35289938.268580794
isin8325,128624681.39829972,28331315.4812949
isin8351,118670907.03896758,30506907.47601804
isin8353,137964407.18883017,30192569.35109857
isin8354,111843507.15157965,31920107.262203746
isin8356,130162404.7431418,27962669.616491474
isin8357,114919591.97065747,29467101.747434996
isin8358,105553270.9825381,27293907.54416566
isin8362,123905233.57357822,29403610.180449396
isin8363,118140298.29278007,28019610.328075394
isin8364,122552989.59752436,28448490.1381436
isin8367,113620974.25151023,30591150.64655406
isin8368,129361539.6099875,26505583.627889708
isin8369,126438815.70963156,28748447.27274947
isin8371,127322874.68765083,30175138.4872559
isin8373,140003826.65458146,28109180.402190953
isin8374,107618196.30697504,28149265.777554017
isin8375,117586538.69329345,29103127.031112507
isin8378,120201717.66062607,31347667.162968643
isin8380,137087182.4730134,26323893.997847863
isin8384,120639173.34564295,29230293.029401973
isin8385,120654107.25673425,31687380.792582057
isin8386,122924275.25160235,31375913.33791987
isin8387,131088141.21914276,28771670.4261797
isin8388,137052912.4456533,27876623.729339182
isin9880,122706077.25483687,24986295.474790134
isin9881,113284489.97158018,28620424.000031926
isin9941,148046490.01428986,29594281.686574914
isin9947,115414486.5659906,31659405.970669687
isin9948,116905529.21246824,29508509.065899935
isin9950,121976112.98613295,25706490.246043872
isin9953,133753846.21996644,25766104.627773575
isin9955,121865669.49537805,26385169.349763103
isin9956,116975337.01715961,30746612.3428208
isin9960,138810082.7943709,30117011.13718138
isin9961,125678110.05951324,26849581.636960104
isin9963,136678089.442538,28814627.782104347
isin9989,127038238.80525264,29663866.396321096
isin10006,134444936.5354695,26897522.46742654
isin10008,125273609.50234374,28986394.980695233
isin10011,112259436.00930999,36772856.92313646
isin10013,128981440.45164469,27992838.19719325
isin10014,125383576.71510738,27758896.05358655
isin10015,117135428.31404766,25462435.430682812
isin14145,106974260.96436045,24370136.656000245
isin781,805038075.2412151,993397331.5461595
isin782,794062986.9137887,988075775.7643079
isin783,856913966.1884775,1084324406.7903178
isin784,844221910.2796494,1078106121.1500964
isin785,760481854.6528459,944747741.5325757
isin786,679549852.109567,831777284.0988533
isin787,780380278.4383785,977164643.7411414
isin3096,735725445.7129862,912391340.8315376
isin3097,754367451.9488599,942615721.9252312
isin3098,734486367.5317081,910181299.6418574
isin3099,689119149.7228441,865884871.0009763
isin3100,846307399.5225878,1046165546.5099776
isin3101,857935685.8221209,1050805288.7003242
isin3102,769685855.8028877,949751110.3932264
isin3103,831767716.6242489,1042940737.1016686
isin3104,788961237.6691056,980380722.2951949
isin3106,680464578.4933695,826126194.212869
isin2347,451328702.5050532,423844779.0219356
isin5161,399318572.1037182,381512360.92118293
isin5162,419177455.744186,426910728.31719327
isin5357,409265698.1634071,389886219.4120179
isin5358,423202536.79089165,402359620.67496026
isin5359,388753087.1406763,361044815.65638864
isin5590,433547836.0991286,394214743.24416244
isin5710,414001700.28210115,359867960.7899618
isin5866,413558315.32066345,393341916.30818766
isin5867,439625317.2938678,428423204.3881655
isin5868,428200701.21939075,389550351.1126183
isin5869,394937090.35555923,351176174.7434703
isin6193,423431188.7162867,421334227.4402288
isin6194,411983624.56733394,369436818.9197004
isin6196,412040667.81959677,402766383.8107916
isin6197,416545644.67548907,393326353.1485596
isin6198,400848574.30888367,399618254.9039346
isin7131,388465088.50713754,359620238.9671724
isin7136,400657931.2413105,389329052.43998396
isin7137,438200882.24961555,425303184.11460626
isin7331,446714509.3459736,408975721.3705135
isin5303,4540431582.261038,4531425595.202781
isin5304,4496121387.46724,4509232083.7125435
isin5535,4685389493.631455,4806306306.665173
isin5536,4348186049.212576,4410892941.856004
isin5537,4242795126.0758867,4278766578.047609
isin5538,4561531368.280258,4497325382.557069
isin5539,4612738305.999605,4619569069.447451
isin5540,4378054442.783986,4433399091.678229
isin5541,4711854776.036925,4755218650.052246
isin5542,5068474489.42721,4951820973.813603
isin5546,4247186902.3354383,4179063901.3102827
isin5547,4463561503.924155,4410695343.72426
isin5904,4360111385.521282,4365220046.278646
isin8515,4348974838.81855,4385723484.3464775
isin8516,4752101635.784605,4779398263.240641
isin8517,4183016653.848171,4181648695.4143085
isin8518,4069176674.3661304,4049168466.5189223
isin8565,4571090270.593461,4524587773.065629
isin8566,4473063554.6459675,4519243991.626766
isin8567,4455677193.191511,4496670753.6264515
isin8568,4574937833.253855,4555981622.710255
isin8570,4680107606.396452,4709017094.398331
isin8571,4307770227.225323,4354419528.625085
isin8572,4738572430.8681755,4792891528.057809
isin8573,4238517839.2027345,4229044064.3380384
isin8574,4841747951.522159,4756852962.651217
isin8580,4476547864.986355,4439485489.715728
isin8581,4339920362.631744,4315058041.956221
isin8582,4571791392.3634205,4614396162.107669
isin8583,4716161673.970633,4764053105.834302
isin3120,735825177.7550945,666884100.2610502
isin3121,727082745.8340485,654507951.2700839
isin3122,690307738.2835702,644729652.9020221
isin3123,769953971.3464278,697116163.5046161
isin3124,716815365.7884895,647164782.7207284
isin3855,694395300.5172298,631740686.2123014
isin3856,740169097.9326981,675207094.0610679
isin3857,694036726.7133162,632497541.4277513
isin3858,755531856.2345474,693796379.2691693
isin3859,803524399.901549,735098117.8019154
isin4653,750580218.2420136,688554416.7698241
isin5036,752178801.2344122,691226113.442242
isin5037,718052078.8453226,649137254.1212188
isin5038,761557080.4099289,691571397.1144329
isin5073,701063749.4771342,629289657.1316454
isin5074,748345675.6096333,671841431.0587907
isin5075,825337558.7635133,749841667.741486
isin5076,688709810.6364666,637167801.4542426
isin5077,733742150.7607872,671589562.4411157
isin5078,736445501.4292449,676862754.8597994
isin5079,753028491.9603951,680810201.0783998
isin5081,796208874.531185,727839846.866047
isin5405,650651498.2969627,593009167.1052895
isin5406,689260516.336486,628094213.5704577
isin5870,712658687.4608941,648277543.4783168
isin5871,756217721.7583352,680505179.723539
isin5872,733383248.630528,668785601.7612256
isin5873,686656550.1466947,625408451.3318284
isin5874,730708419.6245375,660995697.9498388
isin5875,718972693.212522,648804667.4244936
isin5876,710259962.459605,644064863.6425952
isin5877,715554419.3651937,655282019.8390276
isin5878,740888016.7154286,674073925.6860557
isin5879,695554563.3242421,633097762.3616874
isin5880,697014532.8335456,633582179.5005372
isin5881,675814475.337548,620558116.9889929
isin7796,703346862.7840686,639478316.7363713
isin11018,706453552.7647222,645338341.5584356
isin2462,2239669512.882298,2780990901.379691
isin2463,2036479521.96525,2606145334.7020817
isin2464,2415171766.4004087,3107205005.409726
isin2465,2141521909.1402268,2800868937.3263927
isin2467,2187816510.380345,2655048668.1557746
isin2899,2300350813.3212075,2957705465.0609164
isin5680,2132926884.1441326,2637401106.3586884
isin5916,2401052289.80697,3086231874.3322563
isin5917,2139673506.1105933,2806245095.4589367
isin5918,2124172917.7343297,2729103957.456505
isin5919,2127701707.8068354,2608293832.575461
isin5920,2100716466.2990193,2601648012.6282215
isin5921,2121421507.2970798,2609005166.8140945
isin5922,2248583970.2835727,2834378789.1754265
isin5923,2233178775.0915895,2879116365.733607
isin5924,2015004231.3694654,2549574347.925745
isin5925,1964424839.0156786,2420022766.9416656
isin5926,2312443410.482951,2968730617.6001053
isin5931,2142573661.3095093,2752235107.3465185
isin5932,2111195075.552019,2573374348.6805253
isin5933,2145926550.6715972,2759983465.05773
isin5934,2212075855.6614513,2790500548.473898
isin5935,2036074436.895442,2530480404.634118
isin5936,2363222569.474407,3004295920.9645367
isin5937,1874379378.8423572,2326315233.205683
isin5938,2181161440.140546,2776058741.202557
isin5939,1989972728.9539652,2518142540.4252443
isin8257,2092963163.5913765,2614747391.1321306
isin8258,2299271029.1174574,2860960588.68425
isin8259,1998619226.9886117,2535882296.493821
isin8262,2080404820.7066681,2617760314.987885
isin8273,2126598468.2137632,2648902143.736342
isin254,4309243567.839514,4410413918.246716
isin3345,4138365406.621479,4275482454.137931
isin7437,3911058276.3722343,4092106513.7816324
isin7439,4177198983.0982485,4387759353.169273
isin7440,3903835360.9560633,4047468156.9482045
isin7441,3962045562.864086,4123117245.2248807
isin7442,3958680708.039764,4156507523.256199
isin12063,4018553779.875445,4195368345.5678196
isin12596,4134409872.734123,4335457660.170929
isin12597,3736344035.3599505,3966954762.76904
isin12598,4193398106.2834625,4330954440.071647
isin12599,3943148494.0509596,4156860678.7685595
isin12644,3939668765.1251755,4130091624.3043985
isin13453,4085771604.16901,4243190501.329532
isin13454,3734029441.492728,3904314970.197471
isin13750,4108444760.9121866,4250118655.829486
isin13942,4126533747.262353,4297757103.511795
isin13943,4453367030.304339,4628480559.838843
isin14749,4489316534.254877,4678065359.287483
isin14856,4299252763.141745,4476591150.066843
isin15057,3760968828.902808,3926137210.4601326
isin15217,4070729746.816101,4223061732.86378
isin15218,4044711677.3724823,4224798776.43705
isin15219,4003257282.563241,4223756942.9996758
isin15224,4090698653.0765696,4248104156.1288586
isin15225,4248007340.567374,4356052447.223748
isin15226,4308120602.882251,4431364635.267153
isin15227,4296008549.436556,4436597109.36691
isin15228,4249015580.9245906,4403517529.445449
isin15229,3883311980.6884394,4059738921.7614765
isin15230,4275835804.060171,4487300897.666391
isin15522,4234830523.334676,4446951906.436834
isin15523,4397359282.299792,4622350929.578275
isin16424,4025142723.0884438,4166704253.62402
isin17104,4429755232.34057,4633722030.942717
isin1799,251630099.5034312,237673908.32826582
isin1801,259950922.31792995,211849602.90523195
isin1802,249830651.61834383,234421464.05842125
isin1803,258353150.77959293,242119494.30248266
isin1804,237357335.53148252,227898089.55593875
isin1805,232635844.46603006,216958233.2586557
isin1806,265392500.04445153,253555606.32033592
isin1807,239428670.80643368,233393766.6246261
isin1808,242168426.80896038,208303660.3363629
isin1809,252342051.69199616,246633857.04815412
isin1810,252515219.6100053,234085006.64403236
isin1812,215125648.24959868,203665552.58606958
isin1813,234280192.13554472,220787175.8653409
isin1814,248862835.07066947,223418570.45045596
isin1815,246244155.78653213,253334327.94164068
isin1816,233880518.9537925,221748254.6684727
isin1817,222250975.90047464,223054493.77021807
isin1818,238911366.09443128,239778286.56194425
isin1819,225877346.22698307,212439371.2325319
isin1820,250934333.32666165,213787036.3321947
isin1821,242320179.7088309,232566262.21468422
isin1822,231105198.65043753,233474013.34193963
isin1824,236165443.42748702,223980126.5449082
isin1825,249557668.23800242,226289677.82824498
isin1826,248799871.33162737,231780112.2816469
isin1827,250212380.4623663,226710485.20147693
isin1828,233617115.05112237,216111885.05234975
isin1829,257171995.34425038,242447124.19299918
isin1830,246495982.1659059,223556541.70913717
isin1831,250860012.3590865,237955932.69535935
isin1832,250962837.20133063,233024888.38727713
isin1833,250018516.04593313,228444374.5609303
isin1834,235238087.3045299,199203235.20228812
isin1835,233235488.33806032,226731333.96255916
isin1836,252072133.0374619,208119499.28680885
isin1837,256967104.32088965,259221398.2740795
isin1839,247618626.24883202,218502614.0792563
isin1840,243176624.1498323,221688793.38513213
isin1841,245887532.69810906,230197807.53546882
isin1842,227970802.1175995,221586335.87805408
isin1843,234057458.5611156,203674081.58713818
isin1844,224389730.0723142,228471386.77630746
isin1845,236958025.79333985,232125752.39136785
isin1846,228614669.67959154,205897512.53142434
isin1848,233873104.51296985,236869224.31430727
isin1849,230905346.98592275,208622899.61179
isin1850,241245434.4501648,225920440.34433562
isin1851,244615929.34615973,217640829.0186864
isin1855,225701898.54137552,206097245.03481182
isin1857,244500694.36405057,219476556.8615979
isin1858,249037849.7850042,233088164.6396058
isin1859,254797084.91543832,223768185.86316678
isin1860,250593945.78313002,228120065.96776906
isin1861,243121766.93162096,231870423.29659644
isin1862,253306959.98417008,231926862.88032752
isin1863,248086026.70935836,212559455.39746565
isin1864,249503758.5299432,221408966.9559003
isin1865,243661033.92988557,238876352.90249985
isin1867,238922474.56052327,229911931.6324803
isin1869,225661239.38940912,227702706.14966485
isin1870,244861103.29757372,212638649.9990665
isin1871,244893246.1193787,237426156.93049058
isin1872,245050962.53941405,222095597.7698593
isin1873,230184625.15904325,210665128.0694151
isin1874,224901913.21656606,217546586.79675928
isin1875,251349849.02780724,259269862.52781317
isin1880,222358869.57895327,211030928.41096592
isin1881,246570443.33468717,224866225.10872304
isin1882,237027086.4405129,226532263.98854035
isin1883,229637628.711982,232922080.56410667
isin1890,241871931.5328709,221858660.4540059
isin1895,237200484.64742404,212081595.08841002
isin1897,225735405.29196298,214003062.59800667
isin1943,235129330.51437762,234192231.23788524
isin1947,226039252.12037766,195846731.94984013
isin1963,226399552.25418234,202111338.79694366
isin1967,234268047.35683239,232623944.55257457
isin2072,241766274.14448798,236480451.8747508
isin2086,233948146.0677166,234297018.9719779
isin2087,249700515.3288635,232371849.38897955
isin2088,235251759.04934418,229060528.70071906
isin2102,243435705.4922872,229194035.31054604
isin2105,252856091.4155708,219573219.54279065
isin2106,223004379.0419832,208995202.28733706
isin2107,233472626.69984412,215692343.98031068
isin2108,256759894.0156179,249000483.85255128
isin2109,248483248.04322898,225662735.49000323
isin2110,242514116.09249103,234398153.66864067
isin2111,229066140.81132773,212955469.43547848
isin2112,246055989.81800032,238160875.03385544
isin2113,230792776.76765233,213771300.0898946
isin2114,235249392.86024123,210169188.39856505
isin2115,236451611.28434256,244001326.60692525
isin2116,251338306.66751498,232354132.61867237
isin2117,224915155.25789028,205671242.42715973
isin2122,237519430.0683623,231722527.7021783
isin2124,222051070.52481312,210101963.41456437
isin2126,246941531.78853083,217329539.36609632
isin2128,216937138.64900887,188532987.59546912
isin2129,231770058.5290532,224061256.61827925
isin2130,243745364.96883497,214763921.35884374
isin2131,239465331.9664774,235346740.85834277
isin2134,255520132.36269015,230711036.92044616
isin2135,253924825.98162237,245717299.06876886
isin2136,218374600.08644903,206002422.0714293
isin2137,263133998.52345777,236578494.75819027
isin2138,254645391.58598408,231313557.3208372
isin2139,250082671.89143807,241607001.15023106
isin2141,254741769.1504075,236861490.90595838
isin2143,246499050.9116901,237264234.82949308
isin2144,218354530.05314153,209336088.05592093
isin2146,241782517.1159311,210472312.4121488
isin2147,234087040.98168355,219271291.2149061
isin2148,236454969.87359637,213123830.76981443
isin2149,234185133.19460374,211077448.18190333
isin2150,240202362.5227819,240732202.73079413
isin2151,229970513.87487245,226671446.6894834
isin2152,261221425.7685781,248860610.27395838
isin2153,244338782.22635263,225939758.24202543
isin2154,229105747.5875819,214517268.10041296
isin2155,251101374.56449425,219387304.10946742
isin2156,261422072.34693307,215695137.8924172
isin2157,238653581.49428013,210573539.30748573
isin2158,235191894.81085798,205340258.08171856
isin2160,240947801.3312265,225664517.8552323
isin2162,240165583.90025645,223136685.75401825
isin2969,217408483.3108819,201577681.43956625
isin2970,246036751.85679185,217986901.94685054
isin2971,232091734.97539982,219614762.78538644
isin2972,251797693.10153717,239204863.9653756
isin2973,208372664.4946859,203679148.45310676
isin2974,247259262.8406616,229500846.72670493
isin2975,253451941.59322494,236065507.4126255
isin2976,242165427.85694534,219859540.42913318
isin2977,260830077.55652988,215239396.01943594
isin2981,240835495.34814638,230171235.7357143
isin2982,237500625.2017479,211083086.76880622
isin2983,227009678.69454938,214225876.19151956
isin2984,248780231.63638696,228147087.5583064
isin2985,235106414.43615347,231989236.80440867
isin2987,232668641.35693258,215996856.10725412
isin2988,247230550.58203256,220171939.06017447
isin2989,256343901.10871285,217701428.41178572
isin2990,245911006.4146678,204156416.53642404
isin3608,243546314.99058,233515344.09321386
isin7737,2695329740.864856,2634710977.9851613
isin7864,2284102507.543622,2285413297.7974796
isin7865,2431565501.651766,2443875106.8936286
isin8939,2245971239.559231,2308676738.347384
isin8941,2461662757.001563,2441792369.5632367
isin9868,2695748129.3174148,2706365931.3212924
isin9952,2434262753.5932145,2434786666.21353
isin11883,2405399756.205296,2454637081.161316
isin12204,2301107370.565402,2318944022.0785265
isin12207,2326780492.1065345,2316079270.2461143
isin15590,2401735162.359156,2472425074.5448246
isin15594,2646888974.601919,2657145026.221805
isin15605,2727289324.8461595,2741438970.5209303
isin15610,2328923600.5022573,2339941364.788708
isin15797,2530859969.0367346,2546184224.913538
isin15880,2241034273.5488644,2260208555.0001054
isin15881,2444904120.5801954,2499642826.564904
isin17189,2639190260.668168,2665668584.708654
isin17192,2340927009.785251,2377947093.8730736
isin5841,331654692.5845778,318016180.2025783
isin5842,267364106.3796132,250258254.5290106
isin12549,332369978.41937226,299701910.8918028
isin12550,298686478.5825113,281712704.3781603
isin10411,10956723733.628052,11735327235.920242
isin11500,10947375159.819012,11766356931.059992
isin12650,10634009529.99163,11450932664.906815
isin12651,10852926356.0607,11518893527.728714
isin12652,10781850352.746056,11417749851.23928
isin12653,11042574281.330408,11892992571.787197
isin12654,10692579926.061415,11508039614.956678
isin12655,10100751340.096323,10802244047.552938
isin12656,10541837338.890978,11263532915.769587
isin12657,10899093060.095623,11667433631.14067
isin12658,11023512298.958912,11743407196.940979
isin12659,9876440417.189995,10600806105.180803
isin12660,11139617298.124268,11897734244.238068
isin12661,10109309212.05813,10829827329.471409
isin12662,10778957904.782738,11519416613.012665
isin12663,10361265356.375904,11192524811.823763
isin12664,10921201123.16817,11610572055.267422
isin12665,10326089382.924759,11193640213.6251
isin12666,11098254964.104279,11865674564.104004
isin12667,10832480107.515938,11710931786.208162
isin12668,10534166406.427479,11330214761.2042
isin12669,9874459769.256,10562639229.413345
isin12670,11343917389.992044,12134348048.428503
isin12671,11428625794.411612,12164444927.39681
isin12672,10372762860.339073,11100592812.145607
isin12673,11002652081.465439,11833247723.309055
isin12674,10222812180.589693,10931001769.033852
isin12675,10089777094.846968,10760393880.190186
isin12676,10379362799.322681,11011500146.989416
isin12677,10431049626.556438,11092113988.982933
isin12678,10405821506.598356,10968523073.597025
isin13114,10698040560.653494,11373098840.500454
isin13115,10761566886.327526,11595414624.828926
isin13116,10753790266.00531,11515789869.30705
isin13117,10282601861.878641,11031734668.5558
